Entity ID,Acquisition Date,Mission,Camera,Camera Resolution,Operations Number,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,area_kmsq,area_aea_kmsq,area_kmsq_equal_area
D3C1215-300729F018,1979/06/13,1215-3,F,2 to 4 feet,729,38.702,59.077,38.894,58.297,38.725,59.788,38.487,59.788,38.726,58.272,1960.5986294486545,2969.6294411487183,2972.383125858037
D3C1218-100389F007,1983/08/24,1218-1,F,2 to 4 feet,389,49.198,43.216,49.601,40.887,49.022,45.618,48.789,45.605,49.379,40.767,10152.969284748657,9086.120017252684,9138.726860820672
D3C1217-200554F005,1982/07/04,1217-2,F,2 to 4 feet,554,62.335,171.388,62.536,170.492,62.301,172.448,62.14,172.358,62.352,170.355,,2117.1160422539497,2118.3544963667578
D3C1216-100114F003,1980/07/01,1216-1,F,2 to 4 feet,114,43.659,58.446,43.822,57.871,43.663,59.105,43.504,59.067,43.64,57.804,1435.6900199460144,1976.4584576347495,1977.0767008642877
D3C1210-200356F003,1975/07/29,1210-2,F,2 to 4 feet,356,43.704,-71.621,43.946,-72.794,43.629,-70.245,43.474,-70.272,43.737,-72.892,1910.0913182489016,4366.817822875314,4373.8622854310925
D3C1213-300546F034,1977/09/23,1213-3,F,2 to 4 feet,546,25.915,106.585,26.149,105.501,25.886,107.573,25.665,107.577,25.994,105.467,,4407.942667463239,4413.272812901026
D3C1201-200088F029,1971/06/22,1201-2,F,2 to 4 feet,88,49.326,124.965,49.766,122.398,49.137,127.608,48.881,127.593,49.523,122.268,,10929.533407261813,10999.078336373785
D3C1215-301037F026,1979/07/20,1215-3,F,2 to 4 feet,1037,68.47,113.956,68.726,112.601,68.386,115.699,68.226,115.545,68.508,112.329,,3024.161992547198,3027.7156500954657
D3C1206-300463F010,1973/08/31,1206-3,F,2 to 4 feet,463,55.452,34.739,55.773,32.903,55.358,36.431,55.119,36.404,55.608,32.831,7490.061005602867,5192.0596237578,5213.372762622421
D3C1216-100124A040,1980/07/02,1216-1,A,2 to 4 feet,124,35.395,61.975,35.602,60.872,35.37,63.109,35.19,63.056,35.415,60.869,2412.208957675476,4160.630672348555,4155.618340230183
D3C1214-200473A036,1978/05/10,1214-2,A,2 to 4 feet,473,42.826,108.618,43.064,107.206,42.794,109.951,42.576,109.845,42.899,107.187,,4877.513263610395,4868.728381381687
D3C1203-400612F026,1972/08/25,1203-4,F,2 to 4 feet,612,25.077,110.728,25.321,109.721,25.014,111.907,24.848,111.888,25.096,109.641,,4991.429617270502,4995.667058579913
D3C1213-100114A004,1977/07/16,1213-1,A,2 to 4 feet,114,34.73,-116.409,34.909,-117.051,34.732,-115.695,34.575,-115.711,34.687,-117.034,,2579.9597844926834,2578.0465157515328
D3C1215-301062F006,1979/07/24,1215-3,F,2 to 4 feet,1062,55.472,82.903,55.765,81.317,55.353,84.781,55.188,84.731,55.543,81.173,1120.0245919164734,5030.783301656714,5042.991853331704
D3C1210-100011F007,1975/06/09,1210-1,F,2 to 4 feet,11,48.376,-2.461,48.635,-3.762,48.285,-0.927,48.127,-0.961,48.421,-3.874,6862.114192846069,4587.349445335526,4595.885768271959
D3C1208-400665A004,1974/07/02,1208-4,A,2 to 4 feet,665,20.35,105.119,20.519,104.17,20.357,106.17,20.205,106.15,20.304,104.2,,4185.285512701368,4181.571105067003
D3C1201-200095A025,1971/06/22,1201-2,A,2 to 4 feet,95,38.644,99.637,38.99,97.464,38.54,101.851,38.304,101.747,38.74,97.489,,10367.665873231828,10319.253928209753
D3C1212-200431A002,1976/08/26,1212-2,A,2 to 4 feet,431,55.572,83.43,55.783,82.441,55.554,84.433,55.348,84.272,55.628,82.368,540.5661441832885,2681.460739781331,2679.247164969902
D3C1203-300319A011,1972/07/30,1203-3,A,2 to 4 feet,319,33.671,107.884,33.91,106.721,33.619,109.187,33.453,109.151,33.672,106.743,,5090.5686129543465,5081.156888039219
D3C1217-301121A009,1982/08/29,1217-3,A,2 to 4 feet,1121,17.029,-93.81,17.17,-94.277,17.061,-93.311,16.9,-93.328,16.98,-94.276,,1988.1705746064324,1987.8623812390479
D3C1217-301093A004,1982/08/27,1217-3,A,2 to 4 feet,1093,51.268,80.639,51.466,79.758,51.258,81.625,51.094,81.597,51.233,79.777,753.2832444967652,2851.0080997841883,2846.8108927333496
D3C1216-300760A009,1980/09/22,1216-3,A,2 to 4 feet,760,44.061,110.692,44.208,110.074,44.085,111.329,43.907,111.264,44.051,110.043,,1903.924553299777,1903.2662865245418
D3C1217-301347F016,1982/09/14,1217-3,F,2 to 4 feet,1347,35.799,102.363,36.046,101.108,35.765,103.504,35.534,103.507,35.885,101.069,,4800.412942202658,4809.4638057315
D3C1214-401190A008,1978/08/12,1214-4,A,2 to 4 feet,1190,42.651,-94.51,43.096,-98.352,42.524,-90.558,42.219,-90.783,42.753,-98.241,,23161.074903633857,22789.21582321399
D3C1217-200582A046,1982/07/08,1217-2,A,2 to 4 feet,582,29.331,88.93,29.465,88.408,29.37,89.46,29.188,89.413,29.306,88.387,41.439336113265995,1946.5458369533715,1946.1584243909926
D3C1201-200113A060,1971/06/23,1201-2,A,2 to 4 feet,113,51.094,107.556,51.379,105.771,51.038,109.288,50.802,109.138,51.185,105.744,,6059.444594745191,6041.1695023522825
D3C1217-200499F002,1982/06/29,1217-2,F,2 to 4 feet,499,49.579,136.726,49.754,136.03,49.585,137.427,49.395,137.397,49.593,135.983,,2039.738065692655,2041.0688580630163
D3C1219-200418A003,1984/08/08,1219-2,A,2 to 4 feet,418,45.366,-96.11,45.541,-96.821,45.391,-95.358,45.193,-95.415,45.339,-96.845,,2572.307533446023,2571.08292712049
D3C1217-200704F006,1982/07/18,1217-2,F,2 to 4 feet,704,62.557,41.393,62.944,39.152,62.405,43.487,62.165,43.42,62.779,39.043,8623.435252104295,5323.289793871982,5354.098069684735
D3C1215-301047A001,1979/07/21,1215-3,A,2 to 4 feet,1047,18.787,38.267,18.985,37.214,18.79,39.304,18.582,39.25,18.798,37.21,4018.4181453874817,4831.8001264597,4828.886542339158
D3C1219-200627A028,1984/08/30,1219-2,A,2 to 4 feet,627,47.925,68.373,48.088,67.696,47.944,69.093,47.764,69.037,47.904,67.669,1182.4780799247894,2140.6750414357216,2139.734839735361
D3C1214-300746F014,1978/06/23,1214-3,F,2 to 4 feet,746,44.29,70.24,44.451,69.615,44.306,70.862,44.119,70.841,44.293,69.578,929.3645738090516,1960.1473420863401,1961.1559352212366
D3C1201-200155F013,1971/06/25,1201-2,F,2 to 4 feet,155,44.954,64.076,45.158,63.308,44.945,65.022,44.772,64.97,44.921,63.195,2031.65737712236,3264.37293847143,3266.528744361541
D3C1213-100095A017,1977/07/12,1213-1,A,2 to 4 feet,95,45.745,106.927,45.889,106.37,45.757,107.52,45.602,107.472,45.731,106.346,,1581.5877180822622,1581.0232372884004
D3C1219-100335F009,1984/08/01,1219-1,F,2 to 4 feet,335,45.438,18.204,45.722,16.767,45.365,19.697,45.151,19.67,45.513,16.689,7537.242765118057,5589.842972167203,5600.117993719168
D3C1201-100061A012,1971/06/20,1201-1,A,2 to 4 feet,61,39.497,47.479,39.911,45.045,39.32,50.388,39.124,50.325,39.534,45.167,12637.464605807269,14343.806645757137,14213.640457477568
D3C1203-200175A024,1972/07/18,1203-2,A,2 to 4 feet,175,39.832,44.866,40.133,43.623,39.784,46.307,39.589,46.301,39.768,43.737,6360.921807044723,6868.927201677288,6845.094866238252
D3C1201-100061F002,1971/06/20,1201-1,F,2 to 4 feet,61,41.053,47.854,41.484,45.538,40.846,50.824,40.644,50.805,41.131,45.316,13084.92846964482,14482.883529088036,14580.127473664808
D3C1217-200582F044,1982/07/08,1217-2,F,2 to 4 feet,582,29.517,89.004,29.666,88.486,29.546,89.514,29.358,89.504,29.506,88.46,38.37209795373535,1962.5897551242683,1963.1668908404417
D3C1203-200277F008,1972/07/26,1203-2,F,2 to 4 feet,277,43.359,24.36,44.024,20.58,43.033,28.248,42.679,28.294,43.699,20.359,30646.288253332124,24273.969461942193,24653.908055921813
D3C1212-200380F016,1976/08/20,1212-2,F,2 to 4 feet,380,19.899,-77.545,20.076,-78.064,19.9,-76.908,19.744,-76.939,19.862,-78.139,604.6627732650604,2615.8316210979847,2616.448480636326
D3C1212-200375A032,1976/08/20,1212-2,A,2 to 4 feet,375,46.472,83.78,46.596,83.451,46.514,84.137,46.355,84.112,46.418,83.443,156.27273816352843,985.0049447211463,984.8096231365074
D3C1210-300372F030,1975/07/31,1210-3,F,2 to 4 feet,372,64.426,170.643,64.832,168.07,64.178,174.22,64.028,174.13,64.526,167.69,,8354.303948422545,8419.844811784313
D3C1210-100011A009,1975/06/09,1210-1,A,2 to 4 feet,11,48.162,-2.549,48.408,-3.915,48.09,-1.014,47.934,-1.063,48.183,-3.896,6766.873230632455,4565.075109151339,4551.418633087912
D3C1201-100061A010,1971/06/20,1201-1,A,2 to 4 feet,61,39.827,47.552,40.243,45.105,39.649,50.478,39.453,50.414,39.865,45.227,12717.57205735707,14385.920649335767,14253.712571811051
D3C1213-100177F018,1977/07/29,1213-1,F,2 to 4 feet,177,56.23,39.69,56.46,38.695,56.204,40.627,55.982,40.589,56.305,38.638,3609.916822507942,2618.685414476263,2623.4986438215956
D3C1219-100301F018,1984/07/30,1219-1,F,2 to 4 feet,301,33.977,3.743,34.241,2.516,33.928,5.009,33.711,4.994,34.03,2.453,6767.007764109524,5640.339622191039,5647.59104701703
D3C1210-300542A053,1975/08/31,1210-3,A,2 to 4 feet,542,42.122,43.897,42.349,42.685,42.069,45.257,41.915,45.218,42.128,42.706,4287.072533899185,4407.38357473734,4397.17316212161
D3C1201-400417F030,1971/07/16,1201-4,F,2 to 4 feet,417,51.249,64.799,51.569,63.056,51.165,66.402,50.916,66.383,51.396,62.991,3831.902537825531,5648.756537036332,5669.220732454104
D3C1217-200620A007,1982/07/11,1217-2,A,2 to 4 feet,620,24.052,14.254,24.347,12.508,23.986,16.029,23.762,15.954,24.112,12.53,9629.734624740464,9104.984284138876,9083.628736506775
D3C1208-300468F002,1974/06/07,1208-3,F,2 to 4 feet,468,36.673,117.2,36.794,116.73,36.707,117.69,36.552,117.68,36.64,116.7,,1503.590273018853,1504.0025289642304
D3C1203-200167A006,1972/07/17,1203-2,A,2 to 4 feet,167,33.242,-114.702,33.464,-115.818,33.211,-113.558,33.023,-113.614,33.27,-115.821,,4491.0057536773165,4485.609836087008
D3C1217-200631A023,1982/07/12,1217-2,A,2 to 4 feet,631,38.214,45.293,38.44,43.969,38.194,46.54,37.974,46.446,38.274,43.954,4382.740787067612,4902.3973027363445,4894.938601921518
D3C1215-200677F020,1979/06/06,1215-2,F,2 to 4 feet,677,26.541,64.487,26.785,63.435,26.485,65.716,26.313,65.698,26.552,63.353,2590.6178227574464,5314.663605783976,5319.771355792636
D3C1216-200361F001,1980/08/02,1216-2,F,2 to 4 feet,361,45.07,91.734,45.227,91.148,45.081,92.339,44.907,92.312,45.069,91.105,,1788.430051663719,1789.164102680622
D3C1217-300853A022,1982/08/03,1217-3,A,2 to 4 feet,853,59.428,99.564,59.607,98.698,59.419,100.479,59.243,100.36,59.45,98.634,,1961.8214941847498,1960.6058724348552
D3C1203-300395F003,1972/08/07,1203-3,F,2 to 4 feet,395,55.088,91.261,55.606,88.302,54.823,94.332,54.564,94.291,55.36,88.14,,11416.146826152783,11503.949985773563
D3C1217-301418F021,1982/09/20,1217-3,F,2 to 4 feet,1418,36.442,110.993,36.625,110.258,36.468,111.662,36.237,111.664,36.462,110.235,,2794.2905914087,2796.6159335994075
D3C1210-200197A019,1975/07/01,1210-2,A,2 to 4 feet,197,24.865,100.857,25.009,100.24,24.908,101.46,24.699,101.39,24.855,100.21,,2510.8587619092896,2510.2322729205916
D3C1210-100016A006,1975/06/10,1210-1,A,2 to 4 feet,16,43.511,68.256,43.835,66.192,43.399,70.366,43.192,70.265,43.614,66.212,4162.499545066559,8103.2021820922455,8063.754888644669
D3C1201-100028F042,1971/06/18,1201-1,F,2 to 4 feet,28,36.604,43.68,36.882,42.27,36.563,44.965,36.307,44.967,36.703,42.226,5346.589479098999,5932.817281934202,5945.6061076214955
D3C1206-100068F004,1973/07/20,1206-1,F,2 to 4 feet,68,50.417,136.996,50.608,136.224,50.403,137.951,50.246,137.895,50.393,136.108,,2701.042506232076,2702.8439271004845
D3C1214-300801F015,1978/06/29,1214-3,F,2 to 4 feet,801,61.369,40.407,61.56,39.574,61.346,41.329,61.178,41.253,61.395,39.474,2951.1016238754883,1865.1461963247004,1866.3129831625536
D3C1215-300723A013,1979/06/12,1215-3,A,2 to 4 feet,723,30.462,-103.233,30.627,-103.951,30.505,-102.529,30.275,-102.615,30.457,-103.984,,3069.2569383045397,3067.986344182474
D3C1215-300790F010,1979/06/20,1215-3,F,2 to 4 feet,790,38.681,-108.946,38.838,-109.479,38.692,-108.339,38.533,-108.371,38.656,-109.538,,1958.2174128001368,1958.7464093535004
D3C1217-200763A002,1982/07/24,1217-2,A,2 to 4 feet,763,71.574,76.081,72.008,73.075,71.309,79.565,71.148,79.35,71.761,73.016,4361.694203293533,5555.183653506882,5491.162346034686
D3C1203-100083F010,1972/07/12,1203-1,F,2 to 4 feet,83,34.325,-118.113,34.491,-118.683,34.345,-117.546,34.148,-117.563,34.324,-118.716,,2167.815535188306,2168.636924467257
D3C1219-100162F021,1984/07/19,1219-1,F,2 to 4 feet,162,25.724,-10.65,25.98,-11.799,25.686,-9.465,25.466,-9.476,25.765,-11.856,6326.590215015526,5805.945243506459,5811.327610833998
D3C1208-400609A004,1974/06/22,1208-4,A,2 to 4 feet,609,53.015,158.09,53.186,157.16,53.036,159.11,52.872,159.1,52.954,157.2,,2837.1234812734933,2833.3180802322927
D3C1214-200399A023,1978/05/02,1214-2,A,2 to 4 feet,399,43.687,-89.04,43.931,-90.349,43.625,-87.575,43.463,-87.619,43.699,-90.327,,4875.346320383494,4862.543315600012
D3C1206-200266A026,1973/08/09,1206-2,A,2 to 4 feet,266,27.969,52.095,28.1,51.63,27.997,52.593,27.849,52.575,27.925,51.631,1180.8367397643665,1687.7183527553868,1687.2840977486705
D3C1212-100055A005,1976/07/16,1212-1,A,2 to 4 feet,55,37.402,40.558,37.729,38.673,37.289,42.488,37.081,42.396,37.506,38.69,7786.234796596466,8154.07425816485,8122.062782505843
D3C1208-400749F004,1974/07/18,1208-4,F,2 to 4 feet,749,43.671,5.446,43.797,4.882,43.703,5.998,43.535,5.991,43.654,4.857,2164.5877843106555,1582.1565100997634,1582.869601797718
D3C1217-300949F029,1982/08/13,1217-3,F,2 to 4 feet,949,47.703,-99.817,47.959,-101.125,47.634,-98.457,47.446,-98.483,47.776,-101.199,,4296.143627470098,4303.797197354288
D3C1217-200605A012,1982/07/10,1217-2,A,2 to 4 feet,605,48.701,58.672,48.859,58.016,48.71,59.386,48.553,59.349,48.673,58.006,1525.87254916864,1931.239269442833,1930.031312013811
D3C1217-200415A010,1982/06/20,1217-2,A,2 to 4 feet,415,30.897,62.491,31.098,61.438,30.881,63.571,30.699,63.522,30.91,61.437,2274.6714859545746,4196.549052490682,4192.257444730991
D3C1212-300554F044,1976/09/13,1212-3,F,2 to 4 feet,554,27.081,119.218,27.413,117.58,26.968,120.9,26.746,120.9,27.2,117.5,,8209.75425654815,8229.319408407033
D3C1214-200647F035,1978/05/28,1214-2,F,2 to 4 feet,647,9.667,38.621,9.991,36.989,9.583,40.291,9.339,40.304,9.755,36.914,7878.110931162216,9893.92896790122,9903.064056792688
D3C1217-301145F011,1982/08/31,1217-3,F,2 to 4 feet,1145,33.151,-102.134,33.493,-103.966,33.038,-100.259,32.805,-100.254,33.27,-104.052,,9015.728050361922,9045.666464461989
D3C1208-300563A016,1974/06/17,1208-3,A,2 to 4 feet,563,44.93,27.296,45.107,25.952,44.939,28.555,44.738,28.467,44.956,25.943,5047.28743386895,4048.2617521297484,4040.8542536224095
D3C1217-100105F025,1982/05/23,1217-1,F,2 to 4 feet,105,21.519,93.501,21.735,92.552,21.49,94.481,21.303,94.474,21.551,92.505,,4221.036233407132,4223.831462893792
